Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
3-(2-Hydroxyphenyl)propanoate,0.001,0.001,379388.3,0.001,0.001,160114,0.001,0.001,0.001,1.31E+07,1.40E+07,1.24E+07,9554096,9847164,9494883,332875.7,291957.4,350868.4,0.001,0.001,0.001,0.001,473674.8,466482.6,182566,0.001,0.001,2322406,2285632,2344628,2569871,2573316,0.001,0.001,0.001,1127039,2287136
"3,4-Dihydroxyphenylglycol",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,247879.5,383931.4,290994.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42724.37,0.001
"3,6-Dimethylphenanthrene",959074.3,826108.9,1034037,0.001,0.001,410430.2,0.001,0.001,0.001,1103067,950672.7,965403.9,365527.3,315869.7,0.001,887815.6,911413.8,810730.5,0.001,330830,264415.3,1022413,861423.1,842474.7,279768.8,411731,412377.9,0.001,694768.6,740991.8,648730.9,647176.6,0.001,79519.77,260481.1,430431.6,678300.4
3-Hydroxymethylglutarate,922369.8,799909.1,851890.6,181935.5,288063.8,291632.3,0.001,47529.59,0.001,862182.5,776612.3,755072.6,237108.3,289174.3,207190.3,751056.1,752472.9,746663.3,0.001,308647.6,234483.6,847307,734380.3,697705.3,257604.8,267371.8,312480.1,428699.8,513975.7,607942.9,562429.7,632375.8,115069.5,192102.4,290510.1,393089.6,657038.2
3-Methoxy-4-hydroxyma0.001elate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,276267.3,216072.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3-Methyl-2-oxi0.001ole,2380016,1765119,2255621,512544.1,596278.8,905975.3,0.001,0.001,0.001,2260136,2141700,2437527,584132.2,529040.2,386088.3,1815779,2226071,1726537,128264.9,512113.1,383706.9,1999162,2030670,1970560,635592.9,814576.1,814069.2,1215261,1280599,1637025,1280705,1252961,97676.41,239692.3,463856.3,865897.3,1555697
3-Methyl-2-oxovalerate,0.001,97592.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,193201.9,175571.3,0.001,0.001,0.001,1704014,1538477,1412280,0.001,109021.3,0.001,0.001,258734,257672.5,275494.6,0.001,0.001,0.001,0.001,0.001,292123.6
3-Methyladenine,0.001,0.001,0.001,0.001,123826.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
3-Nitro-L-tyrosine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,145394.8,137124.6,91212.62,0.001,0.001,0.001,0.001,0.001,0.001,57172.56,0.001,0.001,0.001,0.001,0.001
"4,6-Dioxoheptanoic Acid",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,56363.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
