Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
Lauric Acid (12:0),187612.3,205082.8,202838.5,189242.6,0.001,0.001,198152.4,190274,200309.4,216991.9,180553.1,163520.2,248429.5,242193.6,145385.6,259799.5,232512.6,262679.3,231739.4,260935.7,193874.6,151175.8,138084.6,0.001,139730.5,127320.9,138711.3,135067.5,0.001,0.001,87011.67,113009.7,172964.1,175423.2,153786.3,192310.5,115776.9
Lauroyl-L-carnitine,81966.87,69278.04,111809.4,235288.4,279256.6,219855.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,793631.4,410257.8,347424.9,102152.1,0.001,113414.8,0.001,97429.83,0.001,0.001,0.001,74682.27,131758.5
L-Carnitine,1675061,1659457,1709815,559163.5,578420.9,640975.9,0.001,0.001,0.001,1742836,1794244,1822149,422650,452664.3,370835.2,1703260,1782069,1624003,0.001,456805.2,421513,1735832,1644906,1729651,369486.9,660749.4,582381.1,1238930,1222135,1249400,1183610,1204538,0.001,269632.4,423963.3,777161,1280399
L-Cysteine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,70319.07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
L-Cystine,361802.8,0.001,0.001,0.001,262102.7,0.001,135322,0.001,0.001,0.001,139626.4,149855.6,139573.7,170908.2,168622,0.001,0.001,184762.8,0.001,131635.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,208384.5,209258.7,0.001,0.001,471793,0.001,379470.3
Leucine Enkephalin,0.001,214573.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,167732.2,0.001,0.001,0.001,0.001,144692.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,67105.37,0.001,166134.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Leukotriene C4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,46459.37,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Leukotriene D4,493155,0.001,460630.5,65729.09,0.001,0.001,0.001,0.001,0.001,497493.4,443097.4,543433.4,100572.1,0.001,0.001,0.001,474442.7,421296.9,0.001,99580.84,106925.4,0.001,0.001,295229,0.001,0.001,0.001,0.001,209568.6,247349.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Leukotriene E4,0.001,0.001,1073206,0.001,0.001,0.001,0.001,0.001,0.001,858314,0.001,851740.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.28E+07,1.49E+07,1.75E+07,6521793,9281869,1.27E+07,3693990,2871678,4500521,2921013,3359775,366076.4,722721.4,1291350,2291940,3957794
L-Gulonolactone,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,168760.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
L-Histidine,828403.6,564585,640857.6,0.001,0.001,0.001,0.001,0.001,0.001,884503,479780.3,507168.4,0.001,0.001,0.001,587429.8,622247.5,691012.6,0.001,0.001,0.001,852904.9,649005.7,495244.6,0.001,0.001,190186.6,133229.2,352017.5,826751.9,443128.5,477823.5,0.001,0.001,0.001,0.001,412286.9
Lignoceric Acid (24:0),32511.57,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,35519.15,0.001,41884.29,0.001,0.001,0.001,31943.42,0.001,0.001,0.001,27308.02,0.001,0.001,0.001,52590.25,0.001,0.001,0.001,0.001,13081.81,21238.7,13899.19,135976.5,114598.6,66777.95,0.001,0.001
Lincomycin,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4670286,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Linoleic Acid (18:2),585934.4,630118.9,444372.9,672229.4,685442.9,744078.3,0.001,0.001,0.001,201351.5,230198.7,256171.3,312539.5,366164.4,292294.8,250100.6,311164.1,336920.4,0.001,152389.7,110209.1,919655.2,890521.9,916538.7,2691499,2747143,2548776,962518.3,587871.1,584338.4,560252.4,622171.3,69575.47,164728,286994.2,542669.4,653077.6
Linolenic Acid,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30255.42,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12211.75,28446.13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,169744.3,105068.2,0.001,0.001,0.001
Lipoxin A4,3896262,3325545,3857809,1202396,1212642,1314214,0.001,0.001,0.001,3618684,3501821,3655768,727179.8,818321.6,588173,3729084,3742143,3472026,303949.9,922328.6,891220.4,0.001,0.001,3268912,857455.4,1338178,1292096,0.001,2713603,2613808,2575060,2571282,0.001,287252.3,723768.5,1352052,2410130
L-Isoleucine,329122.6,328408,318839.4,0.001,0.001,197444.6,0.001,0.001,0.001,350772.9,0.001,364074.3,0.001,0.001,0.001,312229.7,304623,319618.1,0.001,0.001,0.001,337550.3,295431.4,266345.9,0.001,0.001,178014.8,217615.8,205141.9,236819.5,0.001,0.001,0.001,0.001,0.001,229349.8,332366
Lithocholic Acid,75545.47,0.001,65273.89,102200.3,101153.7,111879.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,131877.8,38847.5,0.001,0.001,0.001,21738.33,0.001,0.001,0.001,0.001,0.001,0.001,27961.4
Lithocholyltaurine,0.001,0.001,0.001,0.001,0.001,45325.8,0.001,0.001,0.001,112269.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,129009.5,0.001,0.001,0.001,301621.5,371402.3,426558.7,244096.4,291988.3,137885.8,0.001,148968.6,190835.4,0.001,0.001,0.001,0.001,0.001,122508.9,182734
L-Kynurenine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50389.18,31159.83,0.001,0.001,0.001,0.001,33799.42,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
L-Lysine,348723.7,0.001,333741.7,288967.4,418979.8,644565.3,0.001,280318,987130.6,271243.5,0.001,0.001,493682.5,684947.2,306575.3,0.001,0.001,0.001,300425.1,224778.9,368411.9,0.001,235757.6,90217.69,232497.1,157675.2,685210,0.001,282938.6,506823.3,0.001,365974.6,374679.1,124411.4,100516.4,0.001,0.001
L-Methionine,525874.2,524960.4,517455.1,0.001,0.001,216029.4,0.001,0.001,0.001,486260.2,437053.4,410881.6,0.001,0.001,0.001,460808.8,494012.5,480772,0.001,0.001,0.001,558436.4,474681.4,446182.3,0.001,168846.1,0.001,275614,289158.9,343656.2,0.001,324168.3,0.001,0.001,0.001,0.001,326019
Loganin,58138.69,0.001,33898.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,89115.34,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51066.7,0.001,0.001,0.001,0.001,9444.397,0.001,0.001,0.001,20956.12,0.001,0.001,0.001,0.001,0.001,31436.96
L-Ornithine Monohydrochloride,0.001,0.001,219392.8,0.001,0.001,0.001,0.001,0.001,0.001,234522.6,239702.2,202269.8,0.001,0.001,0.001,0.001,220171.8,199132.1,0.001,98849.34,0.001,201594.2,189046,196150.9,69671.59,0.001,0.001,0.001,0.001,176525.6,0.001,0.001,0.001,0.001,0.001,0.001,178906
LPAPDEK (Tryptic Peptide),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,136066.5,122812.5,117829.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
L-Phenylalanine,2.50E+07,2.55E+07,2.26E+07,5618706,6728275,6580992,0.001,0.001,0.001,2.45E+07,2.42E+07,2.21E+07,4759217,5292603,4421078,2.21E+07,2.26E+07,2.34E+07,1801054,5004112,4073299,2.79E+07,2.52E+07,2.33E+07,5934755,7920261,6485323,1.23E+07,1.30E+07,1.26E+07,1.33E+07,1.40E+07,907036.8,1868199,3852220,7334122,1.37E+07
L-Pipecolate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,75634.08,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99766.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
L-Proline,3560718,3110053,3446802,737382.6,917523.1,1408922,0.001,0.001,0.001,4064808,3497837,3707294,827299.6,782353.9,679382.2,975633.6,1029632,953475.4,0.001,0.001,0.001,3364008,3711438,3758977,1156771,1131817,1188295,1837867,1598492,2023800,1698271,1844635,0.001,0.001,589001.6,1204762,2202898
LR (Tryptic Peptide),2232451,3.09E+07,0.001,2.30E+07,2.89E+07,883332.1,3182677,0.001,0.001,1606991,9087897,2070692,7606509,1.57E+07,1.65E+07,1.09E+07,0.001,1.71E+07,2.59E+07,1.72E+07,4.66E+07,1.37E+07,1.13E+07,0.001,1.16E+07,1.74E+07,0.001,1.10E+07,1.12E+07,3564575,3.22E+07,1.65E+07,0.001,566791.7,1542714,3063784,5265883
L-Threonine,0.001,0.001,0.001,0.001,807536.1,995399.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,965865.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1357470,578300.8,916811.9,0.001,0.001,489962.2,0.001,508042.2,586662.2,970951.3,1333074,1244439,728947.1
L-Tryptophan,0.001,43650.65,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51283.36,0.001,0.001,0.001,0.001,0.001,39594.98,0.001,31968.68,0.001,26291.98,0.001,29655.7,0.001,0.001,27074.52,0.001,0.001,0.001,0.001,56649.26
L-Tyrosine,2106994,1997684,1987715,977206.8,1248147,1342137,0.001,0.001,0.001,2243688,1993379,1971617,901466.1,961964.8,868121.8,1766788,1771263,1838494,414056.4,843070.1,723080.1,2442128,2269092,2078737,1555391,1414575,1474532,1410003,1525491,1771133,1622082,1691356,284015.2,485412.3,904333.5,1407656,1762156
Lumichrome,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,611082.4,909376.6,661422.8,730402.9,1122250,807329.4,0.001,0.001,0.001,0.001,0.001,0.001,230254.4,0.001,0.001,0.001,0.001,0.001,229466.9,318162.9,248782.8,338131.8,377716.5,0.001,0.001,115933.3,182800.8,286710.8
L-Valine,1845134,1760900,1776226,371939.6,443863.8,0.001,0.001,0.001,0.001,1873090,1753023,1664345,303699.4,297864.3,0.001,1552026,1493632,1513293,0.001,0.001,0.001,2006312,1685713,1570599,427507.7,430120.5,404229.9,749478.9,843946.6,899221.8,885753.3,981592.1,0.001,0.001,275200.5,481516.7,907858.1
LVTDLTK (Tryptic Peptide),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2594.175,0.001,0.001,0.001,0.001,0.001,37047.74,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LWSAK (Tryptic Peptide),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.03E+07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LysoPC (13:0),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1631706,1764319,1459660,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43978.76,0.001,0.001,0.001,258616.4,277395.7,263420.9,263912,0.001,0.001,56751.28,131612.4,271936.8
LysoPC (14:0/0:0),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,509827.8,673609.4,602057.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,58424.14,69035.48,49496.51,47090.64,0.001,0.001,0.001,0.001,78332.38
LysoPC (16:0),0.001,7094228,6894140,5026252,4962982,0.001,0.001,0.001,0.001,7211406,7586182,7280044,3381405,3467599,2742640,7127510,0.001,7194465,1500036,3973185,3536963,7059575,7008328,0.001,6279483,6124630,0.001,0.001,6525350,6599306,6544062,6471070,1205747,2376415,4073152,5616864,0.001
LysoPC (18:0),0.001,13307.26,0.001,0.001,0.001,0.001,0.001,0.001,0.001,67804.08,48519.82,60919.12,0.001,52249,33353.77,49218.7,68338.73,50106.19,0.001,26379.18,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23503.54,29533.28,0.001,0.001,0.001,25589.95,0.001
LysoPC (18:1),0.001,0.001,11354.03,0.001,0.001,0.001,0.001,0.001,0.001,96857.7,106042.6,83866.21,36071.47,65838.63,30881.84,199677.1,193868.5,182560.1,42291.5,64787.04,75917.54,0.001,0.001,0.001,0.001,0.001,0.001,0.001,58875.11,58631.95,47396.94,43772.81,0.001,0.001,0.001,34910.43,48936.08
LysoPC (24:0),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2846186,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Lyxose,1232302,1254970,1375912,0.001,0.001,0.001,0.001,0.001,0.001,737400.1,699995.7,725986,0.001,0.001,0.001,722286.8,983524.1,803503.4,0.001,287625.8,0.001,886575.8,1162877,709867.4,0.001,0.001,0.001,0.001,523090.3,727774.3,767772.3,760982.9,0.001,0.001,0.001,0.001,765617.8
Maleate,2382450,2171721,1974073,3297307,4354427,3375139,2601623,1987494,1333814,564947.8,1347443,1087551,1220358,1772508,1631256,1338868,947167.5,1343672,2628044,1779761,1642840,1699565,1303889,1314593,1700429,2000084,1479351,2280680,2211003,1356585,1618655,1800505,1310203,1254795,1380559,1132669,1216580
Maltopentaose,0.001,70254.8,0.001,86146.66,82755.48,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40930.18,47304.96,0.001,0.001,89239.96,63548.95,73031.23,0.001,15133.83,0.001,20726.76,56289.92,0.001,54684.31,57619.89,0.001,46416.38,0.001,0.001,0.001,0.001,0.001,33009.1
Maltotriose,0.001,0.001,0.001,0.001,34513.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,121599.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,68969.21,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Maltulose,2332865,2204795,2271636,271304.9,360570,294543.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2105270,2405410,2293588,505578.4,2916049,963503.4,2496964,2313893,2184111,301445.1,1187807,1219706,1293539,1422059,1587944,1515554,1534167,218995.7,452934.7,871828.3,1300597,1823661
Malvidin,84968.3,87966.84,0.001,0.001,0.001,0.001,0.001,0.001,0.001,75191.09,93459.04,0.001,0.001,0.001,0.001,90663.91,88495.16,96228.63,0.001,0.001,0.001,77956.24,0.001,65315.95,0.001,0.001,0.001,40631.06,0.001,0.001,0.001,42706.55,0.001,0.001,0.001,0.001,59204.52
Mannitol,630605.8,612844.9,648048.3,172984.8,0.001,0.001,0.001,0.001,0.001,699149.8,472224.5,436900.1,0.001,320003.8,330556.9,323906,0.001,566450.3,0.001,182888.9,0.001,691597.1,587114.4,572333.8,0.001,218315.2,0.001,397086,390069.7,381415.9,410099.3,438284.6,0.001,0.001,0.001,0.001,385254
Margaric Acid,157553.1,185741.5,0.001,242696.4,211014.4,274039,0.001,0.001,0.001,119231.3,0.001,36015.98,129150.3,158225.9,0.001,0.001,0.001,105810.7,72394.22,0.001,56324.7,68358.46,79762.69,76334.73,322022.7,164739,140021.7,169629.2,109989.5,114540.1,110195.2,0.001,0.001,124202.7,108410.7,159890.4,120850.3
Methyl Tetracosanoate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51761.98,0.001,0.001,0.001,0.001,0.001,51332.14,68192.61,39563.16,0.001,0.001,0.001,76795.53,9154.018,0.001,0.001,19708.78,0.001,0.001,0.001,208630.6,196519.8,0.001,57989.53,32530.78
Methylgalactoside,174646.1,0.001,160844.9,0.001,68266.45,0.001,0.001,0.001,0.001,0.001,298078,0.001,73754.88,85573.24,69310.72,97603.4,0.001,0.001,0.001,0.001,0.001,0.001,170158.4,0.001,59190.59,0.001,102109.1,114299.5,0.001,0.001,117895.8,114200.6,0.001,0.001,0.001,89403.38,140595.5
Metribuzin,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37495.83,0.001,0.001,0.001,0.001,0.001,0.001,28431.74,0.001,0.001,0.001,0.001,39414.5,45164.45,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21650.35,0.001,0.001,0.001,0.001,0.001,0.001
Mevalonate,1210394,1052225,1163150,948422.2,1297569,1274223,0.001,0.001,0.001,1333446,0.001,777171.4,0.001,471999.9,0.001,883009.1,1184391,809204.3,0.001,0.001,0.001,1035272,1568359,942342.3,572036.7,875505.3,826080.4,1123436,866143.5,964766.7,910626.4,971906,0.001,0.001,0.001,0.001,1301405
Monensin A,260416.1,228480,289966.5,0.001,0.001,89743.88,0.001,0.001,0.001,74961.23,60111.68,0.001,0.001,0.001,0.001,192393.3,180501.4,165931.2,0.001,0.001,0.001,1025853,1083686,979252.1,0.001,190998.4,169003.2,0.001,198573.3,207906.7,168788.8,186237.1,0.001,0.001,0.001,37761.21,202066.9
Monensin B,200813.3,223615.5,210665.1,32812.38,0.001,0.001,0.001,0.001,0.001,255762.6,0.001,0.001,0.001,0.001,0.001,184845.3,191192.1,0.001,0.001,0.001,0.001,0.001,253095.5,212871.9,0.001,0.001,52517.22,0.001,0.001,146216.7,90981.34,0.001,0.001,0.001,0.001,40200.77,0.001
Monensin C,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,658458.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Myoinositol,1.61E+07,1.58E+07,1.56E+07,5358291,7124787,6915585,900618.5,0.001,0.001,1.66E+07,1.58E+07,1.54E+07,5394272,5890686,5226774,1.46E+07,1.44E+07,1.54E+07,2717675,5320908,4406696,1.66E+07,1.49E+07,1.31E+07,5086266,6074835,5867139,9861873,1.14E+07,1.18E+07,1.29E+07,1.32E+07,1675471,3225237,4878504,8131362,1.29E+07
"N,N,N-Trimethyllysine",251152.9,1227972,215506.9,2434650,2371558,352728.5,768395.5,0.001,0.001,0.001,1224556,308060,473951.4,1440885,1544618,1057478,258482.6,1096936,2733622,1483441,2196822,1044018,767058.9,413568.6,527186.8,1572069,423037.2,1111736,1529360,439028.5,1492382,1653872,0.001,0.001,0.001,333705,465792
"N,N-Dimethylglycine Ethyl Ester",1404680,1341943,1322983,394068.3,398454.3,457590.8,0.001,0.001,0.001,1302074,1402896,1414710,674397.8,668559.4,539208.6,1329375,1367616,1321557,122266.3,443402.9,405494.8,1325536,1251269,1335619,322251.2,515750,439965.5,0.001,1032696,1103833,1005143,995561.1,68689.4,0.001,403898.2,607006.4,1044830
"N,NпїЅпїЅ?-Dimethyl-L-arginine",2589464,2232717,2587115,815986.6,829597.5,1008323,0.001,0.001,0.001,2420857,2573668,2421834,672309.6,724056.1,566448.9,2335729,2675963,2375858,226608.5,649887.8,523900.6,2490939,2585151,2987644,1166278,1297096,1113593,2122510,1652110,1919890,1638369,1595273,106841.4,244077.6,535912.6,1122678,1845517
N6-(delta2-Isopentenyl)-adenine,363675.1,288390.8,353475.9,0.001,99461.28,164251.5,0.001,0.001,0.001,487802.6,392627.7,435407.2,188947.4,143604.6,137498.5,303120.7,332254,285175.9,0.001,0.001,0.001,290774.3,275450.1,312223.1,90114.63,100467.1,111199.1,206500.7,179829.1,231339.8,180218.8,193737.4,0.001,0.001,87846.95,161458.3,286351.2
Na(CsI)3 or Cs(NaI)(CsI)2,253061.1,257413.5,251314.7,0.001,0.001,0.001,0.001,0.001,0.001,160438.6,145626.5,151102.9,17290.25,15152.95,0.001,185146.9,212113.7,242934.3,0.001,0.001,0.001,395039.9,365139.5,377972.8,95517.57,88483.13,66476.05,0.001,136000,144355.3,142147.9,142612.1,0.001,0.001,0.001,0.001,133763.4
Na(NaI)5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,440371,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
N-Acetylcysteine,906590.4,953933.3,887943.1,0.001,0.001,0.001,0.001,0.001,0.001,714344.1,893495.6,716478.6,0.001,0.001,0.001,1230901,972243.2,1291109,0.001,0.001,0.001,1187368,1126855,976046.4,0.001,0.001,0.001,505881.8,593476.4,477060.4,0.001,594569,0.001,0.001,0.001,0.001,482335.1
N-Acetyl-D-glucosamine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,327198.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
N-Acetyl-D-mannosamine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5301.258,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
N-Acetylleucine,1076933,1040414,962315.5,0.001,0.001,349428.8,0.001,0.001,0.001,980017.4,1037140,1030367,0.001,410366.6,356681.8,1014377,938655.9,983688.3,0.001,205189.9,158439.4,995749.4,915981.9,901341.4,324250.9,333485.4,350186,639170.8,538932.8,596765.4,636248.5,634791.3,0.001,126940.6,213953.8,379353.8,652270.8
N-Acetylmethionine,593356.2,531799.3,552357.2,141005.7,0.001,188864.3,0.001,0.001,0.001,1002322,894837.6,970770.4,272398.3,222041,181173.2,522940.1,536265.5,493255.9,0.001,0.001,0.001,621371.7,608392.6,515809.8,0.001,0.001,115373.2,427560.7,306902.1,370582.1,353658,373347.3,0.001,0.001,0.001,169889,454192.6
N-Acetylneuraminate,1598762,1534714,1614640,2067265,1998983,2557002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,325067.8,302641.3,0.001,0.001,0.001,0.001,0.001,521001.4,476029.8,490329.4,509777.7,0.001,257272.6,333256,415542.9,511522.8
N-Acetylphenylalanine,0.001,0.001,0.001,177789.2,0.001,263099.2,0.001,0.001,0.001,0.001,798711.8,894143.8,0.001,314180.2,0.001,251987.6,0.001,0.001,0.001,0.001,83944.84,355094.1,0.001,0.001,0.001,201416.3,195363.9,0.001,257350.6,0.001,0.001,311818.4,0.001,96787.78,0.001,0.001,0.001
N-Acetylproline,0.001,249298.9,200327.7,65709.66,0.001,92878.01,0.001,0.001,0.001,229324.5,0.001,191672.8,0.001,83144.1,55960.9,212538.6,246099.7,242701.9,0.001,52527.66,0.001,266692.7,241886.5,211200.9,0.001,87873.84,0.001,146324.2,170386.7,172766.4,144559.2,176748.8,0.001,0.001,0.001,101366,180677.3
N-Acetylputrescine,997400.1,924543.9,1042695,0.001,263186.3,346524.5,0.001,0.001,0.001,623932.2,694086.2,673781.6,0.001,0.001,95676.63,929309.1,1025754,108314.4,0.001,0.001,0.001,875184.7,1029694,993956.5,105458.8,0.001,0.001,263981.2,643604.4,0.001,637607.8,629590.3,0.001,0.001,0.001,0.001,645571.2
N-Acetylserine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,387434.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
N-alpha-Acetyl-L-asparagine,0.001,0.001,405597.8,0.001,142169,0.001,0.001,0.001,0.001,398211.4,0.001,0.001,0.001,0.001,147031.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,275123.5,272599.1,0.001,0.001,0.001,0.001,0.001,203077.3,0.001
N-alpha-Acetyllysine,7012180,6723207,6925647,1642370,2013593,2732299,0.001,0.001,0.001,6032348,5473183,5235167,800739.7,727038.4,549754.1,8861645,9021120,9134887,669435.2,2108625,1670112,3985550,2776439,3462605,1119802,1103856,926381.6,3624427,3483807,3741164,3686771,3801194,213439.3,511635.7,1103755,2148958,4117576
Naproxen,0.001,383593.6,419224,0.001,0.001,0.001,0.001,0.001,0.001,307098.4,286478.1,285594.9,0.001,0.001,0.001,406840.1,405927.7,336164.9,0.001,0.001,0.001,439584.4,307509.8,348018.8,0.001,0.001,0.001,0.001,0.001,0.001,157171.8,0.001,0.001,0.001,0.001,0.001,147579.5
Nervonate,0.001,9054.367,0.001,12589.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23527.49,8099.394,13468.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,20162.71,0.001,0.001,0.001,0.001,0.001,0.001,0.001,106920.9,74140.1,30339.84,0.001,0.001
N-Formyl-L-methionine,309458.8,269199.5,262750.2,0.001,0.001,0.001,0.001,0.001,0.001,143863.6,0.001,0.001,0.001,0.001,0.001,363603.3,0.001,360811.7,0.001,0.001,0.001,322756.7,244074.1,221506.9,0.001,0.001,0.001,117592.7,125768.6,107050.1,137109.4,0.001,0.001,0.001,0.001,0.001,130885.3
